,Unnamed: 0,uid,scene,EventName,EventDuration,SuccessfulCompletionState,StartofEventTime,EndofEventTime
0,0,489749a7e3394cdda22f5f2717a340a8,TrainingScene,TrainingSceneEvent_2,13.230992078781128,True,278.255668,291.48666
1,1,489749a7e3394cdda22f5f2717a340a8,TrainingScene,TrainingSceneEvent_1,9.278940200805664,True,213.309519,222.588459
2,2,489749a7e3394cdda22f5f2717a340a8,MountainRoad,Event_1,10.9912850856781,True,374.743585,385.73487
3,3,489749a7e3394cdda22f5f2717a340a8,MountainRoad,Event_2,3.44457745552063,False,424.340438,427.785016
4,4,489749a7e3394cdda22f5f2717a340a8,MountainRoad,Event_3,25.700783729553223,True,510.798327,536.499111
5,5,489749a7e3394cdda22f5f2717a340a8,Westbrueck,Event_4,9.91093635559082,True,558.245106,568.156042
6,6,489749a7e3394cdda22f5f2717a340a8,Westbrueck,Event_5,19.30841445922852,True,606.68603,625.994444
7,7,489749a7e3394cdda22f5f2717a340a8,Westbrueck,Event_6,17.995047330856323,True,658.851832,676.84688
8,8,489749a7e3394cdda22f5f2717a340a8,CountryRoad,Event_7,25.660788536071777,True,718.322011,743.9828
9,9,489749a7e3394cdda22f5f2717a340a8,CountryRoad,Event_8,19.294713497161865,True,794.542028,813.836742
10,10,489749a7e3394cdda22f5f2717a340a8,CountryRoad,Event_9,19.773646354675293,True,848.238926,868.012573
11,11,489749a7e3394cdda22f5f2717a340a8,CountryRoad,Event_10,10.253218173980711,True,887.898393,898.151611
